facility_name,health_authority,address,locality,province,postal_code,latitude,longitude,source_label,source_url,verification_status,notes
Comox Valley Hospital,Vancouver Island Health,101 Lerwick Rd,Courtenay,BC,V9N 0B9,49.7134165,-124.9703841,HealthLinkBC hospitals CSV,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/north-island-hospital-comox-valley,geocoded_needs_review,"Matched source facility name: North Island Hospital Comox Valley. BC Geocoder matched 101 Lerwick Rd, Courtenay, BC score=99 precision=CIVIC_NUMBER."
Cowichan District Hospital,Vancouver Island Health,3045 Gibbins Rd,Duncan,BC,V9L 1E5,48.7861230,-123.7227061,HealthLinkBC hospitals CSV,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/cowichan-district-hospital,geocoded_needs_review,"BC Geocoder matched 3045 Gibbins Rd, Duncan, BC score=99 precision=CIVIC_NUMBER."
Creston Valley Hospital,Interior Health,312 15th Ave N,Creston,BC,V0B 1G0,49.0980755,-116.5076442,HealthLinkBC hospitals CSV,https://www.interiorhealth.ca/locations/creston-valley-hospital-health-centre,geocoded_needs_review,"Matched source facility name: Creston Valley Hospital and Health Centre. BC Geocoder matched 312 15th Ave N, Creston, BC score=99 precision=CIVIC_NUMBER."
Dawson Creek And District Hospital,Northern Health,11100 13 St,Dawson Creek,BC,V1G 3W8,55.7498607,-120.2356029,HealthLinkBC hospitals CSV,https://www.northernhealth.ca/find-a-facility/hospitals/dawson-creek-and-district-hospital,geocoded_needs_review,"Matched source facility name: Dawson Creek and District Hospital. BC Geocoder matched 11100 13 St, Dawson Creek, BC score=99 precision=CIVIC_NUMBER."
Delta Hospital,Fraser Health,5800 Mountain View Blvd,Delta,BC,V4K 3V6,49.0861644,-123.0618248,HealthLinkBC hospitals CSV,https://www.fraserhealth.ca/Service-Directory/Locations/Delta/delta-hospital#.W1jzkNVKhEY,geocoded_needs_review,"BC Geocoder matched 5800 Mountain View Blvd, Delta, BC score=99 precision=CIVIC_NUMBER."
Eagle Ridge Hospital,Fraser Health,475 Guildford Way,Port Moody,BC,V3H 3W9,49.2851675,-122.8241855,HealthLinkBC hospitals CSV,https://www.fraserhealth.ca/Service-Directory/Locations/Port-Moody/eagle-ridge-hospital#.W1jsv9VKhEY,geocoded_needs_review,"BC Geocoder matched 475 Guildford Way, Port Moody, BC score=99 precision=CIVIC_NUMBER."
East Kootenay Regional Hospital,Interior Health,13 24th Ave N,Cranbrook,BC,V1C 3H9,49.5124205,-115.7499698,HealthLinkBC hospitals CSV,https://www.interiorhealth.ca/locations/east-kootenay-regional-hospital,geocoded_needs_review,"BC Geocoder matched 13 24th Ave N, Cranbrook, BC score=99 precision=CIVIC_NUMBER."
Elk Valley Hospital,Interior Health,1501 5th Ave,Fernie,BC,V0B 1M0,49.5136825,-115.0562654,HealthLinkBC hospitals CSV,https://www.interiorhealth.ca/locations/elk-valley-hospital,geocoded_needs_review,"BC Geocoder matched 1501 5th Ave, Fernie, BC score=99 precision=CIVIC_NUMBER."
Fort St John General Hospital,Northern Health,8407 112 Ave,Fort St. John,BC,V1J 0J5,56.2560541,-120.8161127,HealthLinkBC hospitals CSV,https://www.northernhealth.ca/find-a-facility/hospitals/fort-st-john-hospital-peace-villa,geocoded_needs_review,"Matched source facility name: Fort St. John Hospital. BC Geocoder matched 8407 112 Ave, Fort St. John, BC score=99 precision=CIVIC_NUMBER."
G.R. Baker Memorial Hospital,Northern Health,543 Front St,Quesnel,BC,V2J 2K7,52.9816820,-122.5000670,HealthLinkBC hospitals CSV,https://www.northernhealth.ca/find-a-facility/hospitals/gr-baker-memorial-hospital,geocoded_needs_review,"BC Geocoder matched 543 Front St, Quesnel, BC score=99 precision=CIVIC_NUMBER."
Golden And District General Hospital,Interior Health,835 9th Ave S,Golden,BC,V0A 1H0,51.2980468,-116.9680129,Interior Health facility page,https://www.interiorhealth.ca/locations/golden-district-hospital,geocoded_needs_review,"Source page names facility Golden & District Hospital. BC Geocoder matched 835 9th Ave S, Golden, BC score=99 precision=CIVIC_NUMBER."
