odhf_index,facility_name,source_facility_type,odhf_facility_type,provider,address,postal_code,city,province,csd_name,csd_uid,latitude,longitude,source_url
737,Edgemont Medical Clinic,,Ambulatory health care services,Province of British Columbia,104-3053 edgemont boulvard north vancouver bc v7r 2n5,V7R 2N5,vancouver,BC,North Vancouver,5915046.0,49.336925,-123.10161799999999,https://www.statcan.gc.ca/en/lode/databases/odhf
738,Edgewood,,Nursing and residential care facilities,Province of British Columbia,2121 boxwood rd nanaimo bc v9s 4l2,V9S 4L2,nanaimo,BC,Nanaimo,5921007.0,49.189984,-123.99763,https://www.statcan.gc.ca/en/lode/databases/odhf
739,Edmonds House,,Nursing and residential care facilities,Province of British Columbia,7731 wedgewood st burnaby bc v5e 2e5,V5E 2E5,burnaby,BC,Burnaby,5915025.0,49.2252184,-122.94124359999999,https://www.statcan.gc.ca/en/lode/databases/odhf
740,Edwards Crossing Medical,,Ambulatory health care services,Province of British Columbia,9-45955 yale road chilliwack bc v2p 2m4,V2P 2M4,chilliwack,BC,Chilliwack,5909020.0,49.168184000000004,-121.95839199999999,https://www.statcan.gc.ca/en/lode/databases/odhf
741,Ehn Canada White Rock Mental Health Services Inc,,Nursing and residential care facilities,Province of British Columbia,2567 king george blvd surrey bc v4p 1h5,V4P 1H5,surrey,BC,Surrey,5915004.0,49.048515,-122.797706,https://www.statcan.gc.ca/en/lode/databases/odhf
742,Eighth Avenue Group Home,,Nursing and residential care facilities,Province of British Columbia,210 8th ave burns lake bc v0j 1e0,V0J 1E0,burns lake,BC,Burns Lake,5951022.0,54.2341003,-125.7581811,https://www.statcan.gc.ca/en/lode/databases/odhf
743,Eightieth Avenue House,,Nursing and residential care facilities,Province of British Columbia,11448 80th ave delta bc v4c 1x3,V4C 1X3,delta,BC,Delta,5915011.0,49.148371999999995,-122.90575,https://www.statcan.gc.ca/en/lode/databases/odhf
744,Eleanor House,,Nursing and residential care facilities,Province of British Columbia,2052 eleanor ave abbotsford bc v2s 4l6,V2S 4L6,abbotsford,BC,Abbotsford,5909052.0,49.0392857,-122.26643500000002,https://www.statcan.gc.ca/en/lode/databases/odhf
745,Elgin House,,Nursing and residential care facilities,Province of British Columbia,2942 144th st surrey bc v4p 1p6,V4P 1P6,surrey,BC,Surrey,5915004.0,49.055582,-122.82293700000001,https://www.statcan.gc.ca/en/lode/databases/odhf
746,Elicare Medical,,Ambulatory health care services,Province of British Columbia,9618 cameron street burnaby bc v3j 1m2,V3J 1M2,burnaby,BC,Burnaby,5915025.0,49.253444,-122.89804,https://www.statcan.gc.ca/en/lode/databases/odhf
748,Elivan,,Nursing and residential care facilities,Province of British Columbia,3127 irma st victoria bc v9a 1s9,V9A 1S9,victoria,BC,Victoria,5917034.0,48.447182299999994,-123.38444890000001,https://www.statcan.gc.ca/en/lode/databases/odhf
749,Eljen Medical Clinic,,Ambulatory health care services,Province of British Columbia,1300 111th avenue dawson creek bc v1g 2x5,V1G 2X5,dawson creek,BC,Dawson Creek,5955014.0,55.749128000000006,-120.237571,https://www.statcan.gc.ca/en/lode/databases/odhf
750,Elk Valley Hospital,general,Hospitals,Public Health Agency of Canada,1501 - 5th ave. fernie bc v0b 1m0,V0B 1M0,fernie,BC,Fernie,5901012.0,49.5136918,-115.05603149999999,https://www.statcan.gc.ca/en/lode/databases/odhf
751,Ellwood Medical Clinic,,Ambulatory health care services,Province of British Columbia,100-30495 cardinal avenue abbotsford bc v2t 5r9,V2T 5R9,abbotsford,BC,Abbotsford,5909052.0,49.06074,-122.3788,https://www.statcan.gc.ca/en/lode/databases/odhf
752,Emerald Place,,Nursing and residential care facilities,Province of British Columbia,15 renfrew st vancouver bc v5k 4a5,V5K 4A5,vancouver,BC,Vancouver,5915022.0,49.2845069,-123.0445436,https://www.statcan.gc.ca/en/lode/databases/odhf
753,Emerge Addiction Recovery Program,,Nursing and residential care facilities,Province of British Columbia,415 w pender st vancouver bc v6b 1v2,V6B 1V2,vancouver,BC,Vancouver,5915022.0,49.28313320000001,-123.1119351,https://www.statcan.gc.ca/en/lode/databases/odhf
754,Emily House,,Nursing and residential care facilities,Province of British Columbia,4672 neville st burnaby bc v5j 2h1,V5J 2H1,burnaby,BC,Burnaby,5915025.0,49.213623600000005,-122.99794729999999,https://www.statcan.gc.ca/en/lode/databases/odhf
755,English Bluff,,Nursing and residential care facilities,Province of British Columbia,4836 13th ave delta bc v4m 2b8,V4M 2B8,delta,BC,Delta,5915011.0,49.0260605,-123.0898037,https://www.statcan.gc.ca/en/lode/databases/odhf
756,Eso Court,,Nursing and residential care facilities,Province of British Columbia,4225 eso ct kelowna bc v1w 4a4,V1W 4A4,kelowna,BC,Kelowna,5935010.0,49.827363,-119.47799840000002,https://www.statcan.gc.ca/en/lode/databases/odhf
757,Esquimalt Medical Clinic,,Ambulatory health care services,Province of British Columbia,3-1153 esquimalt road victoria bc v9a 3n7,V9A 3N7,victoria,BC,Esquimalt,5917040.0,48.429952,-123.40993600000002,https://www.statcan.gc.ca/en/lode/databases/odhf
758,Evergreen Baptist Care Home,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,V4B 3R5,white rock,BC,White Rock,,,,https://www.statcan.gc.ca/en/lode/databases/odhf
759,Evergreen Care Unit,,Nursing and residential care facilities,Province of British Columbia,4970 joyce avenue powell river bc v8a 5p2,V8A 5P2,powell river,BC,Powell River,5927008.0,49.850590000000004,-124.529,https://www.statcan.gc.ca/en/lode/databases/odhf
761,Evergreen Hamlets at Fleetwood,,Nursing and residential care facilities,Province of British Columbia,8382 156th st surrey bc v3s 3r7,V3S 3R7,surrey,BC,Surrey,5915004.0,49.155213,-122.78985300000001,https://www.statcan.gc.ca/en/lode/databases/odhf
762,Evergreen House,,Nursing and residential care facilities,Province of British Columbia,638 kemsley ave coquitlam bc v3j 3z3,V3J 3Z3,coquitlam,BC,Coquitlam,5915034.0,49.2662976,-122.8848789,https://www.statcan.gc.ca/en/lode/databases/odhf
