canonical_name,place_type,source_datasets,aliases,notes
Queen Charlotte Islands General Hospital,hospital,bc_msp_blue_book,Queen Charlotte Islands General Hospital|Queen Charlotte Islands General Hospital.,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2016/2017 to 2016/2017, total payments $112,540.42. Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $240,648.21."
R.W. Large Memorial Hospital,hospital,bc_msp_blue_book,R.W. Large Memorial Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2014/2015 to 2023/2024, total payments $704,271.10."
Richmond General Hospital,hospital,bc_msp_blue_book,Richmond General Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $61,867,937.03."
Ridge Meadows Hospital Association,hospital,bc_msp_blue_book,Ridge Meadows Hospital Association,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $40,173,270.66."
Royal Columbia Hospital,hospital,bc_msp_blue_book,Royal Columbia Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 9 row(s), 2016/2017 to 2024/2025, total payments $125,047,528.76."
Saanich Peninsula Hospital,hospital,bc_msp_blue_book,Saanich Peninsula Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $29,680,605.34."
South Okanagan General Hospital,hospital,bc_msp_blue_book,South Okanagan General Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $8,237,913.75."
St. Bartholomew's Hospital,hospital,bc_msp_blue_book,St. Bartholomew's Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 7 row(s), 2014/2015 to 2020/2021, total payments $260,223.93."
St. Joseph's General Hospital,hospital,bc_msp_blue_book,St. Joseph's General Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2014/2015 to 2017/2018, total payments $26,921,575.31."
St. Mary's Hospital,hospital,bc_msp_blue_book,St. Mary's Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 7 row(s), 2014/2015 to 2020/2021, total payments $12,938,719.41."
Stuart Lake Hospital,hospital,bc_msp_blue_book,Stuart Lake Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $1,671,274.80."
Tofino General Hospital,hospital,bc_msp_blue_book,Tofino General Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $1,674,571.30."
Tofino General Hospital Inpatient Care Network,hospital,bc_msp_blue_book,Tofino General Hospital Inpatient Care Network,"Imported from MSP Blue Book payee names; address not verified. Seen 3 row(s), 2021/2022 to 2023/2024, total payments $98,550.00."
University Hospital of Northern BC,hospital,bc_msp_blue_book,University Hospital of Northern BC,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $130,678,167.39."
Vancouver Hospital - UBC Pavillions,hospital,bc_msp_blue_book,Vancouver Hospital - UBC Pavillions,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $29,849,232.58."
Victoria General Hospital,hospital,bc_msp_blue_book,Victoria General Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $159,143,317.97."
VIHA Cowichan District Hospital,hospital,bc_msp_blue_book,VIHA Cowichan District Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 3 row(s), 2019/2020 to 2021/2022, total payments $13,204,651.78."
