canonical_name,place_type,place_status,health_authority,address,locality,province,postal_code,latitude,longitude,source_label,source_url,verification_status,source_datasets,aliases,notes
Fort St John General Hospital,hospital,physical_place,Northern Health,8407 112 Ave,Fort St. John,BC,V1J 0J5,56.2560541,-120.8161127,HealthLinkBC hospitals CSV,https://www.northernhealth.ca/find-a-facility/hospitals/fort-st-john-hospital-peace-villa,geocoded_needs_review,bc_msp_blue_book|bc_wait_times,Fort St John General Hospital,"Matched source facility name: Fort St. John Hospital. BC Geocoder matched 8407 112 Ave, Fort St. John, BC score=99 precision=CIVIC_NUMBER. Imported from bc_wait_times/facility_locations.csv. Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $35,722,896.99."
Fort St. John Hospital,hospital,physical_place,,9636 - 100th ave. fort st. john bc v1j 1y3,fort st john,BC,V1J 1Y3,56.25613829999999,-120.81633899999999,Statistics Canada Open Database of Healthcare Facilities,https://www.statcan.gc.ca/en/lode/databases/odhf,source_provided_needs_review,statcan_odhf,Fort St. John Hospital,Imported from StatCan ODHF BC export (ODHF type: Hospitals; source type: general).
Fraser Canyon Hospital,hospital,physical_place,,1275 7th Ave,Hope,BC,V0X 1L4,49.3779643,-121.4250294,HealthLinkBC hospitals CSV,https://www.fraserhealth.ca/Service-Directory/Locations/Hope/fraser-canyon-hospital#.W1jr8NVKhEY,verified,bc_msp_blue_book|manual_enrichment|statcan_odhf,Fraser Canyon Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $4,164,562.00. BC Geocoder matched 1275 7th Ave, Hope, BC score=99 precision=CIVIC_NUMBER. Imported from StatCan ODHF BC export (ODHF type: Hospitals; source type: general)."
G. R. Baker Memorial Hospital,hospital,physical_place,,543 Front St,Quesnel,BC,V2J 2K7,52.9816820,-122.5000670,HealthLinkBC hospitals CSV,https://www.northernhealth.ca/find-a-facility/hospitals/gr-baker-memorial-hospital,verified,bc_msp_blue_book|manual_enrichment,G. R. Baker Memorial Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $28,123,720.44. Punctuation variant. BC Geocoder matched 543 Front St, Quesnel, BC score=99 precision=CIVIC_NUMBER."
g.f. Strong Rehabilitation Centre,hospital,physical_place,,4255 laurel st. vancouver bc v5z 2g9,vancouver,BC,V5Z 2G9,49.246789,-123.12541499999999,Statistics Canada Open Database of Healthcare Facilities,https://www.statcan.gc.ca/en/lode/databases/odhf,source_provided_needs_review,statcan_odhf,g.f. Strong Rehabilitation Centre,Imported from StatCan ODHF BC export (ODHF type: Hospitals; source type: rehabilitation).
G.R. Baker Memorial Hospital,hospital,physical_place,Northern Health,543 Front St,Quesnel,BC,V2J 2K7,52.9816820,-122.5000670,HealthLinkBC hospitals CSV,https://www.northernhealth.ca/find-a-facility/hospitals/gr-baker-memorial-hospital,geocoded_needs_review,bc_wait_times|statcan_odhf,G.R. Baker Memorial Hospital|g.r. Baker Memorial Hospital,"BC Geocoder matched 543 Front St, Quesnel, BC score=99 precision=CIVIC_NUMBER. Imported from bc_wait_times/facility_locations.csv. Imported from StatCan ODHF BC export (ODHF type: Hospitals; source type: general)."
Glengarry Hospital,hospital,physical_place,,1780 fairfield rd. victoria bc v8s 1g7,victoria,BC,V8S 1G7,48.415282899999994,-123.3318857,Statistics Canada Open Database of Healthcare Facilities,https://www.statcan.gc.ca/en/lode/databases/odhf,source_provided_needs_review,statcan_odhf,Glengarry Hospital,Imported from StatCan ODHF BC export (ODHF type: Hospitals; source type: extended care).
Golden And District General Hospital,hospital,physical_place,Interior Health,835 9th Ave S,Golden,BC,V0A 1H0,51.2980468,-116.9680129,Interior Health facility page,https://www.interiorhealth.ca/locations/golden-district-hospital,geocoded_needs_review,bc_msp_blue_book|bc_wait_times|statcan_odhf,Golden & District General Hospital|Golden and District General Hospital|Golden And District General Hospital,"Source page names facility Golden & District Hospital. BC Geocoder matched 835 9th Ave S, Golden, BC score=99 precision=CIVIC_NUMBER. Imported from bc_wait_times/facility_locations.csv. Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $4,428,457.69. Imported from StatCan ODHF BC export (ODHF type: Hospitals; source type: general)."
Gorge Road Hospital,hospital,physical_place,,,victoria,BC,V9A 1L2,,,Statistics Canada Open Database of Healthcare Facilities,https://www.statcan.gc.ca/en/lode/databases/odhf,source_provided_needs_review,statcan_odhf,Gorge Road Hospital,"Imported from StatCan ODHF BC export (ODHF type: Hospitals; source type: active acute hospital, long term care)."
Greater Victoria Hospitals,hospital,rollup_multi_site,Vancouver Island Health,,,BC,,,,Victoria Hospitals Foundation,https://www.victoriahf.ca/your-hospitals/,verified,bc_wait_times|manual_enrichment,Greater Victoria Hospitals,"Reporting roll-up rather than a single facility address; Island Health lists South Island surgical hospitals including Victoria General Hospital, Royal Jubilee Hospital, and Saanich Peninsula Hospital. Imported from bc_wait_times/facility_locations.csv. Rollup/multi-site label; do not map to one point. User-provided context identifies component facilities as Royal Jubilee Hospital (1952 Bay St, Victoria) and Victoria General Hospital (1 Hospital Way, View Royal). Parent row now has child site rows in health_place_sites.csv for Royal Jubilee Hospital and Victoria General Hospital."
