canonical_name,place_type,source_datasets,aliases,notes
FHA Chilliwack Division Of Family Practice,organization,bc_msp_blue_book,FHA Chilliwack Division Of Family Practice|FHA-Chilliwack Division of Family Practice|FHA-Chilliwack Division Of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $510,418.83. Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2015/2016 to 2015/2016, total payments $331,802.56. Imported from MSP Blue Book payee names; address not verified. Seen 5 row(s), 2016/2017 to 2020/2021, total payments $1,333,710.00."
FHA Jim Pattison Outpatient Care & Surgery Center,organization,bc_msp_blue_book,FHA Jim Pattison Outpatient Care & Surgery Center,"Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $17,042,707.78."
FHA Jim Pattison Outpatient Care & Surgery Centre,organization,bc_msp_blue_book,FHA Jim Pattison Outpatient Care & Surgery Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 5 row(s), 2016/2017 to 2020/2021, total payments $47,364,924.18."
Fort Family Practice Associates,organization,bc_msp_blue_book,Fort Family Practice Associates,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $30,850,694.33."
Fort St John Family Practice Associates,organization,bc_msp_blue_book,Fort St John Family Practice Associates,"Imported from MSP Blue Book payee names; address not verified. Seen 9 row(s), 2016/2017 to 2024/2025, total payments $24,694,813.51."
Four Oaks Medical Associates,organization,bc_msp_blue_book,Four Oaks Medical Associates,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $17,760,407.04."
Fraser Lake Diagnosis & Treatment Centre,organization,bc_msp_blue_book,Fraser Lake Diagnosis & Treatment Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $446,951.63."
General Practice Services Committee,organization,bc_msp_blue_book,General Practice Services Committee,"Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2018/2019 to 2021/2022, total payments $369,046,373.00."
Group One Medical,organization,bc_msp_blue_book,Group One Medical,"Imported from MSP Blue Book payee names; address not verified. Seen 8 row(s), 2017/2018 to 2024/2025, total payments $762,187.90."
Health Employers Association of British Columbia,organization,bc_msp_blue_book,Health Employers Association of British Columbia,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $31,964,459.14."
Houston Health Care,organization,bc_msp_blue_book,Houston Health Care,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $1,002,846.73."
James Samuel Gosnell Memorial Health Centre,organization,bc_msp_blue_book,James Samuel Gosnell Memorial Health Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2015/2016 to 2018/2019, total payments $156,750.83."
Jim Pattison Outpatient Care & Surgery Centre,organization,bc_msp_blue_book,Jim Pattison Outpatient Care & Surgery Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2021/2022 to 2024/2025, total payments $44,353,158.93."
Kirschner Medical,organization,bc_msp_blue_book,Kirschner Medical,"Imported from MSP Blue Book payee names; address not verified. Seen 3 row(s), 2018/2019 to 2020/2021, total payments $401,624.97."
Kootenay Boundary Division Of Family Practice,organization,bc_msp_blue_book,Kootenay Boundary Division Of Family Practice|Kootenay Boundary Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $193,450.00. Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2015/2016 to 2024/2025, total payments $1,839,365.00."
Ladysmith Community Health Centre,organization,bc_msp_blue_book,Ladysmith Community Health Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $4,181,743.96."
Ladysmith Health Centre,organization,bc_msp_blue_book,Ladysmith Health Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $7,679,960.53."
